Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Baix Llobregat,2010,667.8519422460969,13659727,17200.0,102.2,1433.33
Montsià,2010,351.2489850486251,850568,11900.0,71.0,991.67
Vallès Oriental,2010,579.6666630061397,6467002,16500.0,98.1,1375.0
Maresme,2010,618.2205357430211,7235391,16800.0,100.0,1400.0
Urgell,2010,356.41692107023414,505024,13600.0,81.1,1133.33
Terra Alta,2010,330.6533333333333,161318,12700.0,75.7,1058.33
Tarragonès,2010,504.0530109109734,3756115,15300.0,91.5,1275.0
Solsonès,2010,348.0066076923077,187025,13600.0,80.9,1133.33
Selva,2010,472.3356967889114,2212387,13100.0,78.0,1091.67
Segrià,2010,406.6393783140937,3085141,15000.0,89.6,1250.0
Segarra,2010,323.8653424165947,319745,13900.0,82.7,1158.33
Vallès Occidental,2010,612.890330633529,15218534,17200.0,102.3,1433.33
Ribera d'Ebre,2010,390.75781090909095,333581,14200.0,84.6,1183.33
Priorat,2010,365.2303063492064,132163,13200.0,78.9,1100.0
Pla d'Urgell,2010,373.1236217228465,508964,13800.0,82.0,1150.0
Pla de l'Estany,2010,491.3764029761905,479637,15600.0,92.8,1300.0
Pallars Sobirà,2010,422.8977936842105,104774,14000.0,83.3,1166.67
Pallars Jussà,2010,322.8189126126127,200570,14300.0,85.3,1191.67
Noguera,2010,358.34158051258373,517669,13000.0,77.5,1083.33
Osona,2010,442.6884707622703,2398948,15700.0,93.4,1308.33
Ripollès,2010,377.9579715091211,423287,16000.0,95.4,1333.33
Alt Camp,2011,403.4115105704698,653517,14500.0,87.2,1208.33
Barcelonès,2011,721.6504722611946,42526383,19000.0,114.0,1583.33
Garraf,2011,638.7898545332738,2349624,16200.0,97.3,1350.0
Cerdanya,2011,529.1906111731844,255267,13600.0,81.9,1133.33
Conca de Barberà,2011,373.7484878612717,303210,14400.0,86.3,1200.0
Garrigues,2011,345.7780878787879,262835,13100.0,78.5,1091.67
Berguedà,2011,360.7067155319149,660022,16000.0,95.9,1333.33
Baix Penedès,2011,465.7216499174917,1396048,13900.0,83.4,1158.33
Bages,2011,397.0333203360372,2848845,16100.000000000002,96.8,1341.67
Baix Ebre,2011,364.98380068359376,1022158,12500.0,75.1,1041.67
Anoia,2011,420.9670583512545,1767476,14900.0,89.6,1241.67
Alta Ribagorça,2011,369.99998695652175,61003,14500.0,87.1,1208.33
