Comarca,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,Any
Aran,132414,13.3,83.9,2012
Bages,2681888,15.2,96.3,2012
Baix Camp,2598588,13.5,85.6,2012
Baix Ebre,980613,12.1,76.5,2012
Baix Empordà,1699585,12.9,81.4,2012
Baix Llobregat,13235192,16.5,104.4,2012
Baix Penedès,1333587,13.3,83.9,2012
Barcelonès,39629880,17.8,112.4,2012
Berguedà,638675,15.7,98.9,2012
Cerdanya,244658,13.1,83.0,2012
Conca de Barberà,293409,14.0,88.6,2012
Garraf,2219787,15.3,96.8,2012
Garrigues,255816,12.8,80.9,2012
Garrotxa,834803,15.1,95.4,2012
Gironès,2676758,14.7,92.9,2012
Maresme,6819971,15.7,99.4,2012
Moianès,203665,15.7,99.1,2012
Montsià,801696,11.3,71.5,2012
Noguera,498338,12.6,79.3,2012
Osona,2351803,15.3,96.8,2012
Pallars Jussà,187899,13.7,86.3,2012
Pallars Sobirà,98571,13.5,85.2,2012
Pla d'Urgell,482246,13.1,82.5,2012
Pla de l'Estany,462357,14.8,93.2,2012
Priorat,124878,12.7,80.5,2012
Ribera d'Ebre,320892,13.9,87.6,2012
Ripollès,408293,15.7,99.0,2012
Segarra,315558,13.7,86.4,2012
Segrià,2889943,14.0,88.3,2012
Selva,2139252,12.6,79.5,2012
Solsonès,181510,13.3,84.2,2012
Tarragonès,3552386,14.2,90.0,2012
Terra Alta,156974,12.6,79.9,2012
Urgell,479349,13.1,82.7,2012
Vallès Occidental,14551038,16.3,102.7,2012
Vallès Oriental,6259045,15.8,99.5,2012
Alt Camp,621401,13.9,88.1,2013
Alt Empordà,1676066,12.2,77.0,2013
Alt Penedès,1612187,15.3,96.4,2013
Alt Urgell,260979,12.5,79.0,2013
Alta Ribagorça,58818,14.7,93.2,2013
Anoia,1643875,14.0,88.2,2013
Aran,131226,13.2,83.7,2013
Bages,2628393,15.0,95.1,2013
Baix Camp,2602345,13.6,86.2,2013
Baix Ebre,970873,12.1,76.6,2013
Baix Empordà,1695133,12.9,81.6,2013
Baix Llobregat,13152787,16.5,104.0,2013
Baix Penedès,1312691,13.1,83.1,2013
Barcelonès,39653571,18.0,113.5,2013
Berguedà,622001,15.5,98.0,2013
Cerdanya,243806,13.4,84.5,2013
Conca de Barberà,291888,14.1,89.2,2013
Garraf,2201196,15.3,96.6,2013
Garrigues,258425,13.1,82.7,2013
Garrotxa,829600,15.0,95.1,2013
Gironès,2666934,14.7,92.9,2013
Maresme,6754271,15.6,98.7,2013
Moianès,193653,15.0,94.5,2013
Montsià,781083,11.2,70.6,2013
Noguera,501496,12.8,80.8,2013
Osona,2332889,15.3,96.5,2013
Pallars Jussà,187765,14.1,88.9,2013
Pallars Sobirà,97300,13.5,85.3,2013
Pla d'Urgell,483862,13.2,83.3,2013
Pla de l'Estany,461829,14.7,93.1,2013
Priorat,123873,12.9,81.5,2013
Ribera d'Ebre,320450,14.1,88.9,2013
Ripollès,406185,15.8,99.6,2013
Segarra,305322,13.4,84.6,2013
Segrià,2896785,14.1,88.9,2013
Selva,2119760,12.6,79.4,2013
Solsonès,183281,13.6,85.7,2013
Tarragonès,3525307,14.2,89.4,2013
Terra Alta,154713,12.7,80.4,2013
Urgell,476800,13.1,82.8,2013
Vallès Occidental,14357830,16.1,101.5,2013
Vallès Oriental,6177834,15.6,98.4,2013
Alt Camp,629440,14.2,88.7,2014
Alt Empordà,1673140,12.2,76.5,2014
Alt Penedès,1615462,15.3,95.7,2014
Alt Urgell,258351,12.5,78.1,2014
Alta Ribagorça,56670,14.5,90.3,2014
Anoia,1657787,14.1,88.3,2014
Aran,130388,13.3,82.9,2014
Bages,2641245,15.2,95.1,2014
Baix Camp,2601995,13.8,85.9,2014
Baix Ebre,960487,12.1,75.7,2014
Baix Empordà,1692192,13.0,81.1,2014
Baix Llobregat,13380745,16.8,104.7,2014
Baix Penedès,1302179,13.1,82.0,2014
Barcelonès,39908544,18.2,113.5,2014
Berguedà,616224,15.6,97.4,2014
Cerdanya,238574,13.3,83.2,2014
Conca de Barberà,291763,14.3,89.0,2014
Garraf,2241016,15.6,97.5,2014
Garrigues,251234,12.9,80.8,2014
Garrotxa,833483,15.1,94.6,2014
Gironès,2693887,14.9,93.0,2014
Maresme,6814768,15.7,98.4,2014
Moianès,193629,14.9,93.3,2014
Montsià,768896,11.2,69.9,2014
Noguera,495286,12.8,79.7,2014
Osona,2348068,15.4,96.3,2014
Pallars Jussà,183257,13.8,86.1,2014
