Comarca,Any,Preu mitjà lloguer
Gironès,2010,535.275243878019
Maresme,2010,618.2205357430211
Montsià,2010,351.2489850486251
Noguera,2010,358.34158051258373
Osona,2010,442.6884707622703
Pallars Jussà,2010,322.8189126126127
Pallars Sobirà,2010,422.8977936842105
Pla de l'Estany,2010,491.3764029761905
Pla d'Urgell,2010,373.12362172284645
Priorat,2010,365.2303063492064
Ribera d'Ebre,2010,390.75781090909095
Ripollès,2010,377.9579715091211
Segarra,2010,323.8653424165947
Segrià,2010,406.6393783140937
Selva,2010,472.3356967889114
Solsonès,2010,348.0066076923077
Tarragonès,2010,504.0530109109734
Terra Alta,2010,330.6533333333333
Urgell,2010,356.41692107023414
Val d'Aran,2010,489.92186266666664
Vallès Occidental,2010,612.890330633529
Vallès Oriental,2010,579.6666630061397
Alt Camp,2009,445.2388778606965
Alt Empordà,2009,496.94890663613245
Alt Penedès,2009,524.2119851464845
Alt Urgell,2009,439.7360325966851
Alta Ribagorça,2009,402.14284285714285
Anoia,2009,466.24993301787254
Bages,2009,455.61965753891474
Baix  Camp,2009,472.0652040074767
Baix Ebre,2009,387.6777111270975
Baix Empordà,2009,531.020123733179
Baix Llobregat,2009,702.6694527600819
Baix Penedès,2009,519.7340928374578
Barcelonès,2009,765.1437869171974
Berguedà,2009,400.5004258439762
Cerdanya,2009,567.6331357665877
Conca de Barberà,2009,416.8890279527559
Garraf,2009,674.7821599563877
Garrigues,2009,363.2375034974533
Garrotxa,2009,424.9664892210472
Gironès,2009,538.1773164308636
Maresme,2009,651.6767911153743
Montsià,2009,364.37771224328685
Noguera,2009,362.5674982758621
Osona,2009,481.40034730785226
Pallars Jussà,2009,340.68237454545454
Pallars Sobirà,2009,449.27273333333335
Pla de l'Estany,2009,535.674908682453
Pla d'Urgell,2009,388.22958341708545
Priorat,2009,375.6714370273794
Ribera d'Ebre,2009,378.9137398243802
Ripollès,2009,392.01122386363636
Segarra,2009,406.0961654545455
Segrià,2009,429.17933328452193
Selva,2009,489.9560566178613
Solsonès,2009,361.71527752808987
Tarragonès,2009,520.840685789434
Terra Alta,2009,330.0000076923077
Urgell,2009,369.9801846666666
Val d'Aran,2009,597.946503030303
Vallès Occidental,2009,643.6653282235195
Vallès Oriental,2009,614.3026222926358
Alt Camp,2008,472.0578663545548
Alt Empordà,2008,508.74906882605256
Alt Penedès,2008,553.1288371121944
Alt Urgell,2008,457.8726253846156
Alta Ribagorça,2008,429.99997999999994
Anoia,2008,499.3277181681919
Bages,2008,480.60356676770516
Baix  Camp,2008,500.464130705988
Baix Ebre,2008,397.47016853835726
Baix Empordà,2008,578.090305391428
Baix Llobregat,2008,744.2857019973566
Baix Penedès,2008,566.6252177593371
Barcelonès,2008,789.2873183418538
Berguedà,2008,422.14413849898506
Cerdanya,2008,646.1877069982623
Conca de Barberà,2008,466.5818855555555
Garraf,2008,714.9562185003639
Garrigues,2008,365.08071908771905
Garrotxa,2008,436.5116647271633
Gironès,2008,568.9961611059032
Maresme,2008,673.5412855676856
Montsià,2008,399.70443780487807
Noguera,2008,398.02811621621623
Osona,2008,513.2407109887242
Pallars Jussà,2008,355.6153961538461
Pallars Sobirà,2008,443.33519629629603
Pla de l'Estany,2008,575.3095364685003
Pla d'Urgell,2008,412.92083484848496
Priorat,2008,390.58333333333326
Ribera d'Ebre,2008,392.9127452840911
Ripollès,2008,375.3113047536659
Segarra,2008,424.25938787878783
Segrià,2008,450.20235968267974
Selva,2008,518.7655890209071
Solsonès,2008,336.19819043887156
Tarragonès,2008,533.5901626751707
Terra Alta,2008,341.2500125
Urgell,2008,385.1378469879517
Val d'Aran,2008,582.7197721354169
Vallès Occidental,2008,683.108866435723
Vallès Oriental,2008,620.7779481765342
Alt Camp,2007,431.8760006802724
Alt Empordà,2007,484.22593641145374
Alt Penedès,2007,513.3075448474361
Alt Urgell,2007,422.5945687500002
Alta Ribagorça,2007,381.25
Anoia,2007,423.938802242939
Bages,2007,444.2996726220911
Baix  Camp,2007,455.2933135471869
Baix Ebre,2007,364.3704141299909
Baix Empordà,2007,545.2570317312767
Baix Llobregat,2007,682.1524462978947
Baix Penedès,2007,479.81027983781934
Barcelonès,2007,741.8361800853892
Berguedà,2007,372.73323313173324
Cerdanya,2007,607.2360521008402
Conca de Barberà,2007,403.3907317073172
Garraf,2007,652.4027028965368
Garrigues,2007,339.9631551352809
Garrotxa,2007,394.34822037402466
Gironès,2007,550.6425076575201
Maresme,2007,635.4875004321914
Montsià,2007,371.6169183458037
Noguera,2007,336.95428571428573
Osona,2007,465.28489091654563
Pallars Jussà,2007,382.21819090909105
Pallars Sobirà,2007,461.8181636363636
Pla de l'Estany,2007,533.0581819148936
Pla d'Urgell,2007,391.34213026103777
Priorat,2007,357.4958823529412
Ribera d'Ebre,2007,372.849403030303
Ripollès,2007,358.93801384615386
Segarra,2007,363.99999500000024
Segrià,2007,422.20794924466514
Selva,2007,486.8806717212035
Solsonès,2007,340.80227622950804
Tarragonès,2007,486.7928089401126
Terra Alta,2007,274.2857285714286
Urgell,2007,360.629439078014
Val d'Aran,2007,551.1152263374485
Vallès Occidental,2007,649.8162892601651
Vallès Oriental,2007,595.8266271586858
Alt Camp,2006,436.92809520449515
Alt Empordà,2006,461.9704952266078
Alt Penedès,2006,468.109609064792
Alt Urgell,2006,411.1831187986172
Alta Ribagorça,2006,241.285
Anoia,2006,388.28220425224515
Bages,2006,392.8449066954277
Baix  Camp,2006,423.9786638065444
Baix Ebre,2006,336.494091653467
Baix Empordà,2006,512.2288702879997
Baix Llobregat,2006,646.1396221259473
Baix Penedès,2006,500.6616469542198
Barcelonès,2006,673.7525903607609
Berguedà,2006,309.42861882676556
Cerdanya,2006,595.0529257309942
Conca de Barberà,2006,293.7605714285714
Garraf,2006,653.2288046584611
Garrigues,2006,522.045009416196
Garrotxa,2006,344.58668761969324
Gironès,2006,530.6679989251343
Maresme,2006,601.0676439381447
Montsià,2006,320.4226895528599
Noguera,2006,273.43464444444436
Osona,2006,440.81148210543137
